City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,siwa oasis,29.2041,25.5195,20.89,34,100,5.45,EG,2024-05-06
79,la gi,10.6667,107.7833,27.15,80,24,5.0,VN,2024-05-06
80,codajas,-3.8367,-62.0569,23.37,97,100,1.44,BR,2024-05-06
81,kaliganj,23.4095,89.1402,23.35,83,46,3.06,BD,2024-05-06
82,port saint john's,-31.6229,29.5448,22.85,47,0,3.0,ZA,2024-05-06
83,karaton,-6.3424,106.1045,22.64,97,22,0.55,ID,2024-05-06
84,hassi messaoud,31.6804,6.0729,31.23,9,100,6.22,DZ,2024-05-06
85,jamestown,42.097,-79.2353,16.8,36,0,4.12,US,2024-05-06
86,mata-utu,-13.2816,-176.1745,29.76,76,50,6.71,WF,2024-05-06
87,kuanda,56.3161,116.0806,13.52,49,100,0.78,RU,2024-05-06
88,yorkton,51.2167,-102.4677,12.91,76,100,9.26,CA,2024-05-06
89,seosan,36.7817,126.4522,12.39,95,100,2.08,KR,2024-05-06
90,san andres,12.5847,-81.7006,30.01,79,20,5.66,CO,2024-05-06
91,tiksi,71.6872,128.8694,-1.75,90,82,2.06,RU,2024-05-06
92,lebu,-37.6167,-73.65,11.2,91,100,13.25,CL,2024-05-06
93,ilulissat,69.2167,-51.1,-4.99,68,100,3.09,GL,2024-05-06
94,port alfred,-33.5906,26.891,19.31,86,0,1.76,ZA,2024-05-06
95,zajas,41.6072,20.9383,10.06,93,90,2.78,MK,2024-05-06
96,saint-francois,46.4154,3.9054,9.82,94,75,1.54,FR,2024-05-06
97,oranjemund,-28.55,16.4333,14.76,76,0,1.65,NA,2024-05-06
98,cabo san lucas,22.8909,-109.9124,27.56,55,100,1.79,MX,2024-05-06
99,yellowknife,62.456,-114.3525,17.45,47,75,5.81,CA,2024-05-06
100,yangquan,37.8575,113.5633,16.16,48,18,0.95,CN,2024-05-06
101,la ronge,55.1001,-105.2842,14.14,51,100,3.6,CA,2024-05-06
102,tazovsky,67.4667,78.7,-14.62,99,96,3.72,RU,2024-05-06
103,salinas,36.6777,-121.6555,23.34,65,0,5.66,US,2024-05-06
104,ilebo,-4.3167,20.5833,22.76,58,20,0.66,CD,2024-05-06
105,stribro,49.7529,13.0041,14.01,91,100,4.99,CZ,2024-05-06
106,keflavik,64.0049,-22.5624,4.95,87,40,7.2,IS,2024-05-06
107,wailua homesteads,22.0669,-159.378,27.24,78,67,3.13,US,2024-05-06
108,dobrich,43.5667,27.8333,11.99,75,38,4.41,BG,2024-05-06
109,mount isa,-20.7333,139.5,20.87,40,44,4.63,AU,2024-05-06
110,egilsstadir,65.2653,-14.3948,4.95,60,0,4.63,IS,2024-05-06
111,tolanaro,-25.0319,46.9987,22.04,83,20,6.69,MG,2024-05-06
112,udachny,66.4167,112.4,-0.31,98,97,9.17,RU,2024-05-06
113,perambalur,11.2333,78.8833,29.08,58,8,1.69,IN,2024-05-06
114,anloga,5.7947,0.8973,29.19,77,79,4.81,GH,2024-05-06
115,hasaki,35.7333,140.8333,19.22,80,100,11.31,JP,2024-05-06
116,zaragoza,41.6561,-0.8773,15.01,56,0,3.6,ES,2024-05-06
117,naama,33.2667,-0.3167,17.13,29,68,6.01,DZ,2024-05-06
118,hawaiian paradise park,19.5933,-154.9731,23.91,91,100,2.06,US,2024-05-06
119,hithadhoo,-0.6,73.0833,29.28,73,100,3.27,MV,2024-05-06
120,puerto ayora,-0.7393,-90.3518,25.98,96,34,1.34,EC,2024-05-06
121,ceerigaabo,10.6162,47.368,19.51,76,96,0.91,SO,2024-05-06
122,constantia,44.1833,28.65,10.39,74,59,6.85,RO,2024-05-06
123,westport,41.1415,-73.3579,22.16,85,0,1.54,US,2024-05-06
124,nong wua so,17.1626,102.5727,29.05,74,14,0.64,TH,2024-05-06
125,las vegas,36.175,-115.1372,26.18,17,0,3.09,US,2024-05-06
